County,Cases
Fulton,111
Cobb,67
Bartow,56
DeKalb,53
Dougherty,52
Gwinnett,27
Cherokee,18
Lee,16
Carroll,16
Clayton,13
Richmond ,10
Clarke,10
Coweta,9
Fayette,9
Floyd,9
Hall,9
Lowndes,8
Henry,7
Forsyth,5
Chatham,4
Douglas,4
Glynn,4
Gordon,4
Newton,4
Paulding,4
Polk,4
Troup,4
Columbia,3
Lamar,3
Peach,3
Baldwin,2
Butts,2
Early,2
Effingham,2
Laurens,2
Muscogee,2
Oconee,2
Pickens,2
Rockdale,2
Spalding,2
Sumter,2
Terrell,2
Tift,2
Whitfield,2
Worth,2
Barrow,1
Bibb,1
Charlton,1
Chattooga,1
Clinch,1
Coffee,1
Dawson,1
Heard,1
Houston,1
Lincoln,1
Lumpkin,1
Miller,1
Monroe,1
Randolph,1
Tattnall,1
Turner,1
Twiggs,1
