COVID-19 Confirmed Cases By County:,No. Cases,No. Deaths
Fulton,2707,106
Dekalb,1882,44
Gwinnett,1577,54
Cobb,1511,80
Dougherty,1491,116
Hall,1126,15
Clayton,662,24
Henry,478,11
Cherokee,416,10
Richmond,381,15
Sumter,368,26
Carroll,331,13
Lee,310,19
Bartow,296,30
Douglas,291,11
Mitchell,290,28
Muscogee,287,6
Forsyth,281,8
Bibb,264,8
Houston,217,13
Chatham,208,7
Upson,206,17
Early,202,15
Baldwin,200,6
Spalding,198,7
Habersham,196,6
Coweta,190,4
Colquitt,179,6
Newton,177,7
Fayette,170,9
Paulding,169,7
Rockdale,169,6
Terrell,169,18
Thomas,164,16
Crisp,159,3
Randolph,156,19
Columbia,146,3
Clarke,144,13
Worth,143,9
Lowndes,141,4
Troup,140,4
Floyd,134,11
Butts,129,3
Dooly,121,8
Barrow,114,4
Ware,113,9
Coffee,112,4
Walton,105,3
Tift,97,5
Calhoun,87,3
Gordon,82,12
Jackson,77,1
Wilcox,75,7
Burke,74,3
Stephens,74,1
Macon,73,3
Whitfield,73,4
Decatur,65,1
Turner,65,8
Appling,64,5
Oconee,58,0
Walker,58,0
Harris,57,2
Dawson,54,1
Gilmer,54,0
Grady,54,3
Laurens,54,1
Pierce,54,3
Glynn,53,1
Brooks,52,6
Greene,52,2
Meriwether,52,0
White,50,0
Bryan,49,2
Polk,49,0
Oglethorpe,48,3
Catoosa,46,0
Mcduffie,44,4
Peach,42,2
Marion,40,1
Johnson,39,2
Pike,39,2
Liberty,37,0
Putnam,37,5
Washington,37,1
Lamar,35,1
Bulloch,34,2
Effingham,34,1
Union,34,2
Lumpkin,33,1
Wilkinson,32,2
Camden,30,1
Hancock,30,0
Seminole,30,2
Miller,29,0
Jones,28,0
Toombs,28,3
Haralson,27,1
Murray,26,0
Ben Hill,25,0
Morgan,25,0
Telfair,25,0
Dodge,24,1
Fannin,24,0
Pickens,24,2
Pulaski,24,1
Monroe,23,1
Wilkes,23,0
Bacon,22,1
Madison,22,1
Talbot,22,1
Baker,21,2
Brantley,21,2
Stewart,21,0
Clay,20,2
Emanuel,20,0
Jasper,20,0
Towns,20,1
Elbert,19,0
Cook,18,1
Berrien,17,0
Franklin,17,0
Taylor,17,2
Banks,16,0
Jenkins,16,1
Schley,16,1
Irwin,15,1
Screven,15,1
Chattooga,14,1
Crawford,14,0
Dade,14,1
Jeff Davis,14,1
Jefferson,14,1
Warren,12,0
Wayne,12,0
Lincoln,11,0
Rabun,11,1
Chattahoochee,10,0
Heard,10,1
Webster,10,2
Bleckley,9,0
Hart,9,0
Candler,8,0
Charlton,8,0
Lanier,8,1
Atkinson,7,0
Clinch,7,0
Tattnall,7,0
Twiggs,7,0
Echols,5,0
Quitman,5,1
Evans,4,0
Long,4,0
Mcintosh,4,0
Wheeler,4,0
Montgomery,2,0
Treutlen,2,0
Unknown,604,2
Non-Georgia Resident,972,13
