date,county,state,fips,cases,deaths
2020-03-11,Sheridan,Wyoming,56033,1,0
2020-03-12,Sheridan,Wyoming,56033,1,0
2020-03-13,Fremont,Wyoming,56013,1,0
2020-03-13,Sheridan,Wyoming,56033,1,0
2020-03-14,Fremont,Wyoming,56013,1,0
2020-03-14,Sheridan,Wyoming,56033,2,0
2020-03-15,Fremont,Wyoming,56013,1,0
2020-03-15,Sheridan,Wyoming,56033,2,0
2020-03-16,Fremont,Wyoming,56013,8,0
2020-03-16,Sheridan,Wyoming,56033,2,0
2020-03-17,Fremont,Wyoming,56013,8,0
2020-03-17,Laramie,Wyoming,56021,2,0
2020-03-17,Park,Wyoming,56029,1,0
2020-03-17,Sheridan,Wyoming,56033,4,0
2020-03-18,Fremont,Wyoming,56013,8,0
2020-03-18,Laramie,Wyoming,56021,3,0
2020-03-18,Park,Wyoming,56029,1,0
2020-03-18,Sheridan,Wyoming,56033,4,0
2020-03-18,Teton,Wyoming,56039,1,0
2020-03-19,Fremont,Wyoming,56013,8,0
2020-03-19,Laramie,Wyoming,56021,4,0
2020-03-19,Park,Wyoming,56029,1,0
2020-03-19,Sheridan,Wyoming,56033,4,0
2020-03-19,Teton,Wyoming,56039,1,0
2020-03-20,Campbell,Wyoming,56005,1,0
2020-03-20,Fremont,Wyoming,56013,9,0
2020-03-20,Laramie,Wyoming,56021,4,0
2020-03-20,Natrona,Wyoming,56025,1,0
2020-03-20,Park,Wyoming,56029,1,0
2020-03-20,Sheridan,Wyoming,56033,4,0
2020-03-20,Teton,Wyoming,56039,2,0
2020-03-21,Campbell,Wyoming,56005,1,0
2020-03-21,Carbon,Wyoming,56007,1,0
2020-03-21,Fremont,Wyoming,56013,9,0
2020-03-21,Laramie,Wyoming,56021,5,0
2020-03-21,Natrona,Wyoming,56025,1,0
2020-03-21,Park,Wyoming,56029,1,0
2020-03-21,Sheridan,Wyoming,56033,4,0
2020-03-21,Teton,Wyoming,56039,2,0
2020-03-22,Campbell,Wyoming,56005,1,0
2020-03-22,Carbon,Wyoming,56007,1,0
2020-03-22,Fremont,Wyoming,56013,10,0
2020-03-22,Laramie,Wyoming,56021,6,0
2020-03-22,Natrona,Wyoming,56025,1,0
2020-03-22,Park,Wyoming,56029,1,0
2020-03-22,Sheridan,Wyoming,56033,4,0
2020-03-22,Teton,Wyoming,56039,2,0
2020-03-23,Campbell,Wyoming,56005,1,0
2020-03-23,Carbon,Wyoming,56007,2,0
2020-03-23,Fremont,Wyoming,56013,10,0
2020-03-23,Laramie,Wyoming,56021,7,0
2020-03-23,Natrona,Wyoming,56025,1,0
2020-03-23,Park,Wyoming,56029,1,0
2020-03-23,Sheridan,Wyoming,56033,4,0
2020-03-23,Teton,Wyoming,56039,2,0
2020-03-24,Campbell,Wyoming,56005,1,0
2020-03-24,Carbon,Wyoming,56007,3,0
2020-03-24,Fremont,Wyoming,56013,12,0
2020-03-24,Laramie,Wyoming,56021,8,0
2020-03-24,Natrona,Wyoming,56025,4,0
2020-03-24,Park,Wyoming,56029,1,0
2020-03-24,Sheridan,Wyoming,56033,4,0
2020-03-24,Sweetwater,Wyoming,56037,1,0
2020-03-24,Teton,Wyoming,56039,3,0
2020-03-25,Albany,Wyoming,56001,1,0
2020-03-25,Campbell,Wyoming,56005,1,0
2020-03-25,Carbon,Wyoming,56007,3,0
2020-03-25,Fremont,Wyoming,56013,14,0
2020-03-25,Laramie,Wyoming,56021,12,0
2020-03-25,Natrona,Wyoming,56025,6,0
2020-03-25,Park,Wyoming,56029,1,0
2020-03-25,Sheridan,Wyoming,56033,4,0
2020-03-25,Sweetwater,Wyoming,56037,1,0
2020-03-25,Teton,Wyoming,56039,6,0
2020-03-26,Albany,Wyoming,56001,1,0
2020-03-26,Campbell,Wyoming,56005,1,0
2020-03-26,Carbon,Wyoming,56007,3,0
2020-03-26,Fremont,Wyoming,56013,14,0
2020-03-26,Hot Springs,Wyoming,56017,1,0
2020-03-26,Johnson,Wyoming,56019,1,0
2020-03-26,Laramie,Wyoming,56021,15,0
2020-03-26,Natrona,Wyoming,56025,6,0
2020-03-26,Park,Wyoming,56029,1,0
2020-03-26,Sheridan,Wyoming,56033,4,0
2020-03-26,Sweetwater,Wyoming,56037,1,0
2020-03-26,Teton,Wyoming,56039,8,0
2020-03-27,Albany,Wyoming,56001,1,0
2020-03-27,Campbell,Wyoming,56005,1,0
2020-03-27,Carbon,Wyoming,56007,3,0
2020-03-27,Fremont,Wyoming,56013,17,0
2020-03-27,Goshen,Wyoming,56015,1,0
2020-03-27,Hot Springs,Wyoming,56017,1,0
2020-03-27,Johnson,Wyoming,56019,4,0
2020-03-27,Laramie,Wyoming,56021,18,0
2020-03-27,Natrona,Wyoming,56025,8,0
2020-03-27,Park,Wyoming,56029,1,0
2020-03-27,Sheridan,Wyoming,56033,5,0
2020-03-27,Sweetwater,Wyoming,56037,1,0
2020-03-27,Teton,Wyoming,56039,12,0
2020-03-27,Washakie,Wyoming,56043,1,0
2020-03-28,Albany,Wyoming,56001,1,0
2020-03-28,Campbell,Wyoming,56005,1,0
2020-03-28,Carbon,Wyoming,56007,3,0
2020-03-28,Converse,Wyoming,56009,1,0
2020-03-28,Fremont,Wyoming,56013,21,0
2020-03-28,Goshen,Wyoming,56015,1,0
2020-03-28,Hot Springs,Wyoming,56017,1,0
2020-03-28,Johnson,Wyoming,56019,5,0
2020-03-28,Laramie,Wyoming,56021,19,0
2020-03-28,Natrona,Wyoming,56025,8,0
2020-03-28,Park,Wyoming,56029,1,0
2020-03-28,Sheridan,Wyoming,56033,6,0
2020-03-28,Sublette,Wyoming,56035,1,0
2020-03-28,Sweetwater,Wyoming,56037,1,0
2020-03-28,Teton,Wyoming,56039,14,0
2020-03-28,Washakie,Wyoming,56043,1,0
2020-03-29,Albany,Wyoming,56001,1,0
2020-03-29,Campbell,Wyoming,56005,1,0
2020-03-29,Carbon,Wyoming,56007,3,0
2020-03-29,Converse,Wyoming,56009,1,0
2020-03-29,Fremont,Wyoming,56013,23,0
2020-03-29,Goshen,Wyoming,56015,1,0
2020-03-29,Hot Springs,Wyoming,56017,1,0
2020-03-29,Johnson,Wyoming,56019,5,0
2020-03-29,Laramie,Wyoming,56021,19,0
2020-03-29,Natrona,Wyoming,56025,9,0
2020-03-29,Park,Wyoming,56029,1,0
2020-03-29,Sheridan,Wyoming,56033,6,0
2020-03-29,Sublette,Wyoming,56035,1,0
2020-03-29,Sweetwater,Wyoming,56037,1,0
2020-03-29,Teton,Wyoming,56039,14,0
2020-03-29,Washakie,Wyoming,56043,1,0
2020-03-30,Albany,Wyoming,56001,1,0
2020-03-30,Campbell,Wyoming,56005,1,0
2020-03-30,Carbon,Wyoming,56007,3,0
2020-03-30,Converse,Wyoming,56009,1,0
2020-03-30,Fremont,Wyoming,56013,24,0
2020-03-30,Goshen,Wyoming,56015,1,0
2020-03-30,Hot Springs,Wyoming,56017,1,0
2020-03-30,Johnson,Wyoming,56019,5,0
2020-03-30,Laramie,Wyoming,56021,20,0
2020-03-30,Natrona,Wyoming,56025,9,0
2020-03-30,Park,Wyoming,56029,1,0
2020-03-30,Sheridan,Wyoming,56033,8,0
2020-03-30,Sublette,Wyoming,56035,1,0
2020-03-30,Sweetwater,Wyoming,56037,2,0
2020-03-30,Teton,Wyoming,56039,17,0
2020-03-30,Washakie,Wyoming,56043,1,0
2020-03-31,Albany,Wyoming,56001,3,0
2020-03-31,Campbell,Wyoming,56005,3,0
2020-03-31,Carbon,Wyoming,56007,3,0
2020-03-31,Converse,Wyoming,56009,1,0
2020-03-31,Fremont,Wyoming,56013,25,0
2020-03-31,Goshen,Wyoming,56015,1,0
2020-03-31,Hot Springs,Wyoming,56017,1,0
2020-03-31,Johnson,Wyoming,56019,7,0
2020-03-31,Laramie,Wyoming,56021,27,0
2020-03-31,Natrona,Wyoming,56025,12,0
2020-03-31,Park,Wyoming,56029,1,0
2020-03-31,Sheridan,Wyoming,56033,10,0
2020-03-31,Sublette,Wyoming,56035,1,0
2020-03-31,Sweetwater,Wyoming,56037,2,0
2020-03-31,Teton,Wyoming,56039,23,0
2020-03-31,Washakie,Wyoming,56043,1,0
2020-04-01,Albany,Wyoming,56001,3,0
2020-04-01,Campbell,Wyoming,56005,5,0
2020-04-01,Carbon,Wyoming,56007,3,0
2020-04-01,Converse,Wyoming,56009,2,0
2020-04-01,Fremont,Wyoming,56013,25,0
2020-04-01,Goshen,Wyoming,56015,1,0
2020-04-01,Hot Springs,Wyoming,56017,1,0
2020-04-01,Johnson,Wyoming,56019,7,0
2020-04-01,Laramie,Wyoming,56021,35,0
2020-04-01,Natrona,Wyoming,56025,14,0
2020-04-01,Park,Wyoming,56029,1,0
2020-04-01,Sheridan,Wyoming,56033,10,0
2020-04-01,Sublette,Wyoming,56035,1,0
2020-04-01,Sweetwater,Wyoming,56037,3,0
2020-04-01,Teton,Wyoming,56039,26,0
2020-04-01,Washakie,Wyoming,56043,1,0
2020-04-02,Albany,Wyoming,56001,3,0
2020-04-02,Campbell,Wyoming,56005,6,0
2020-04-02,Carbon,Wyoming,56007,3,0
2020-04-02,Converse,Wyoming,56009,3,0
2020-04-02,Fremont,Wyoming,56013,26,0
2020-04-02,Goshen,Wyoming,56015,1,0
